Date,Open,High,Low,Close
12/31/2008,"890.22","910.32","889.67","903.25"
12/30/2008,"873.87","891.12","870.58","890.64"
12/29/2008,"873.76","873.76","857.07","869.42"
12/26/2008,"872.03","873.74","866.52","872.80"
12/24/2008,"863.73","869.79","861.44","868.15"
12/23/2008,"879.80","880.44","860.10","863.16"
12/22/2008,"888.33","887.37","857.09","871.63"
12/19/2008,"889.74","905.47","883.02","887.88"
12/18/2008,"907.96","911.02","877.44","885.28"
12/17/2008,"900.54","918.85","895.94","904.42"
12/16/2008,"875.40","914.66","871.53","913.18"
12/15/2008,"883.16","884.63","857.72","868.57"
12/12/2008,"871.79","883.24","851.35","879.73"
12/11/2008,"889.54","904.63","868.73","873.59"
12/10/2008,"897.20","908.27","885.45","899.24"
12/09/2008,"896.70","916.26","885.38","888.67"
12/08/2008,"898.02","918.57","882.71","909.70"
12/05/2008,"835.12","879.42","818.41","876.07"
12/04/2008,"855.96","875.60","833.60","845.22"
12/03/2008,"827.93","873.12","827.60","870.74"
12/02/2008,"831.73","850.54","817.94","848.81"
12/01/2008,"870.24","888.61","815.69","816.21"
11/28/2008,"883.43","896.25","881.21","896.24"
11/26/2008,"840.68","887.68","841.37","887.68"
11/25/2008,"868.48","868.94","834.99","857.39"
11/24/2008,"818.21","865.60","801.20","851.81"
11/21/2008,"763.45","801.20","741.02","800.03"
11/20/2008,"795.69","820.52","747.78","752.44"
11/19/2008,"857.68","864.57","806.18","806.58"
11/18/2008,"849.31","865.90","826.84","859.12"
11/17/2008,"862.09","882.29","848.98","850.75"
11/14/2008,"891.18","916.88","869.88","873.29"
11/13/2008,"857.06","913.01","818.69","911.29"
11/12/2008,"880.15","893.39","850.48","852.30"
11/11/2008,"905.50","917.15","884.90","898.95"
11/10/2008,"949.74","951.95","907.47","919.21"
11/07/2008,"914.67","931.46","906.90","930.99"
11/06/2008,"942.74","952.40","899.73","904.88"
11/05/2008,"991.23","1,001.84","949.86","952.77"
11/04/2008,"988.88","1,007.51","971.31","1,005.75"
11/03/2008,"968.24","975.57","958.82","966.30"
10/31/2008,"952.83","984.38","944.59","968.75"
10/30/2008,"958.09","963.23","928.50","954.09"
10/29/2008,"937.26","969.97","922.26","930.09"
10/28/2008,"873.12","940.51","845.27","940.51"
10/27/2008,"860.23","893.78","846.75","848.92"
10/24/2008,"852.85","896.30","852.85","876.77"
10/23/2008,"904.11","922.83","858.44","908.11"
10/22/2008,"931.62","951.67","875.81","896.78"
10/21/2008,"971.04","985.44","952.47","955.05"
10/20/2008,"954.92","985.40","943.51","985.40"
10/17/2008,"922.71","984.64","918.74","940.55"
10/16/2008,"912.04","947.71","865.83","946.43"
10/15/2008,"975.22","994.60","903.99","907.84"
10/14/2008,"1,049.69","1,044.31","972.07","998.01"
10/13/2008,"944.62","1,006.93","912.75","1,003.35"
10/10/2008,"866.33","936.36","839.80","899.22"
10/09/2008,"998.22","1,005.25","909.19","909.92"
10/08/2008,"966.16","1,021.06","970.97","984.94"
10/07/2008,"1,068.33","1,072.91","996.23","996.23"
10/06/2008,"1,065.59","1,097.56","1,007.97","1,056.89"
10/03/2008,"1,128.35","1,153.82","1,098.14","1,099.23"
10/02/2008,"1,150.85","1,160.64","1,111.43","1,114.28"
10/01/2008,"1,154.70","1,167.03","1,140.77","1,161.06"
09/30/2008,"1,135.00","1,168.03","1,113.78","1,166.36"
09/29/2008,"1,188.46","1,209.07","1,106.39","1,106.39"
09/26/2008,"1,187.54","1,215.77","1,187.54","1,213.01"
09/25/2008,"1,187.87","1,220.03","1,187.87","1,209.18"
09/24/2008,"1,187.46","1,197.41","1,179.79","1,185.87"
09/23/2008,"1,210.44","1,221.15","1,187.06","1,188.22"
09/22/2008,"1,245.87","1,255.37","1,205.61","1,207.09"
09/19/2008,"1,265.12","1,265.12","1,213.11","1,255.08"
09/18/2008,"1,178.20","1,211.14","1,133.50","1,206.51"
09/17/2008,"1,189.89","1,210.34","1,155.88","1,156.39"
09/16/2008,"1,169.28","1,214.84","1,169.28","1,213.59"
09/15/2008,"1,213.16","1,250.92","1,192.70","1,192.70"
09/12/2008,"1,238.77","1,255.09","1,233.81","1,251.70"
09/11/2008,"1,214.94","1,249.98","1,211.54","1,249.05"
09/10/2008,"1,235.97","1,243.90","1,221.60","1,232.04"
09/09/2008,"1,265.41","1,268.66","1,224.51","1,224.51"
09/08/2008,"1,274.42","1,274.42","1,247.12","1,267.79"
09/05/2008,"1,228.92","1,244.94","1,217.23","1,242.31"
09/04/2008,"1,266.06","1,271.80","1,232.83","1,236.83"
09/03/2008,"1,275.03","1,280.60","1,265.59","1,274.98"
09/02/2008,"1,298.33","1,303.04","1,272.20","1,277.58"
08/29/2008,"1,293.82","1,297.59","1,282.74","1,282.83"
08/28/2008,"1,288.00","1,300.68","1,283.79","1,300.68"
08/27/2008,"1,272.58","1,285.05","1,270.03","1,281.66"
08/26/2008,"1,267.15","1,275.65","1,263.21","1,271.51"
08/25/2008,"1,284.71","1,290.47","1,264.87","1,266.84"
08/22/2008,"1,282.92","1,293.09","1,277.59","1,292.20"
08/21/2008,"1,266.14","1,281.40","1,265.22","1,277.72"
08/20/2008,"1,271.44","1,276.01","1,261.16","1,274.54"
08/19/2008,"1,270.18","1,276.65","1,263.11","1,266.69"
08/18/2008,"1,299.98","1,300.22","1,274.51","1,278.60"
08/15/2008,"1,294.49","1,302.05","1,290.74","1,298.20"
08/14/2008,"1,274.99","1,300.11","1,276.84","1,292.93"
08/13/2008,"1,285.22","1,294.03","1,274.86","1,285.83"
08/12/2008,"1,300.68","1,304.79","1,285.64","1,289.59"
08/11/2008,"1,293.73","1,313.15","1,291.41","1,305.32"
08/08/2008,"1,263.68","1,297.85","1,262.11","1,296.32"
08/07/2008,"1,279.57","1,286.51","1,264.29","1,266.07"
08/06/2008,"1,279.88","1,291.67","1,276.00","1,289.19"
08/05/2008,"1,254.87","1,284.88","1,254.67","1,284.88"
08/04/2008,"1,258.07","1,260.49","1,247.45","1,249.01"
08/01/2008,"1,270.52","1,270.52","1,254.54","1,260.31"
07/31/2008,"1,271.66","1,284.93","1,265.97","1,267.38"
07/30/2008,"1,269.56","1,284.33","1,264.52","1,284.26"
07/29/2008,"1,240.10","1,263.20","1,236.38","1,263.20"
07/28/2008,"1,254.67","1,260.09","1,234.37","1,234.37"
07/25/2008,"1,259.73","1,263.33","1,251.75","1,257.76"
07/24/2008,"1,282.95","1,283.22","1,251.48","1,252.54"
07/23/2008,"1,280.28","1,291.17","1,276.06","1,282.19"
07/22/2008,"1,251.45","1,277.42","1,248.83","1,277.00"
07/21/2008,"1,264.67","1,267.74","1,255.70","1,260.00"
07/18/2008,"1,262.23","1,262.23","1,251.81","1,260.68"
07/17/2008,"1,251.39","1,262.31","1,241.49","1,260.32"
07/16/2008,"1,214.50","1,245.52","1,211.39","1,245.36"
07/15/2008,"1,215.52","1,234.35","1,200.44","1,214.91"
07/14/2008,"1,253.50","1,253.50","1,225.01","1,228.30"
07/11/2008,"1,238.55","1,257.27","1,225.35","1,239.49"
07/10/2008,"1,245.71","1,257.65","1,236.76","1,253.39"
07/09/2008,"1,274.69","1,277.36","1,244.69","1,244.69"
07/08/2008,"1,250.67","1,274.17","1,242.84","1,273.70"
07/07/2008,"1,265.67","1,273.95","1,240.68","1,252.31"
07/03/2008,"1,269.93","1,271.48","1,252.01","1,262.90"
07/02/2008,"1,290.11","1,292.17","1,261.51","1,261.52"
